Fantasy Team,Player ID,Round,Pick,Ov Pick,Pos,Player,Team,DraftGP,DraftPts,DraftPPG,DraftRank,DrafRankDelta,SeasonGP,SeasonPts,SeasonPPG,SeasonRank,SeasonDelta,Utilisation
STL,*05ogb*,3,1,25,F,Anthony Elanga,NEW,2,9.75,4.88,137,-112,32.015810276679844,81,2.53,333,-308,0.12037037037037036
OWL,*04agz*,3,2,26,M,Declan Rice,ARS,35,414,11.83,8,18,36.012163336229364,414.5,11.51,8,18,0.9987937273823885
PUN,*038ze*,3,3,27,F,Alex Iwobi,FUL,22,150,6.82,71,-44,28.99628252788104,234,8.07,115,-88,0.6410256410256411
PLE,*068ym*,3,4,28,M,Enzo Fernandez,CHE,33,344.25,10.43,17,11,36.00583090379009,370.5,10.29,21,7,0.9291497975708503
KKCS,*06v05*,3,5,29,D,Jeremie Frimpong,LIV,14,92.5,6.61,87,-58,20.9984756097561,137.75,6.56,243,-214,0.6715063520871143
BRG,*03vlj*,3,6,30,D,Virgil van Dijk,LIV,38,432.25,11.38,5,25,37.983304042179256,432.25,11.38,5,25,1
RVN,*06mvz*,3,7,31,F,Savio Moreira de Oliveira,MCI,1,4,4,152,-121,23.98921832884097,89,3.71,312,-281,0.0449438202247191
MTP,*06zbz*,3,8,32,F,Hugo Ekitik̩,LIV,21,246.25,11.73,44,-12,28.00531914893617,263.25,9.4,93,-61,0.9354226020892688
UFOE,*03rzp*,3,9,33,D,Antonee Robinson,FUL,14,139.25,9.95,74,-41,22.001262626262626,174.25,7.92,188,-155,0.7991391678622669
COB,*062ci*,3,10,34,M,Kaoru Mitoma,BHA,13,90.25,6.94,89,-55,25,172.25,6.89,190,-156,0.5239477503628447
WOL,*06clt*,3,11,35,F,Justin Kluivert,BOU,10,47.25,4.72,108,-73,20,83,4.15,325,-290,0.5692771084337349
BGE,*05r8o*,3,12,36,F,Jean-Philippe Mateta,CRY,22,166.75,7.58,67,-31,31.981981981981985,248.5,7.77,103,-67,0.6710261569416499
BGE,*05os4*,4,1,37,D,Rayan Ait-Nouri,MCI,4,59.5,14.88,102,-65,16.998754669987548,136.5,8.03,246,-209,0.4358974358974359
WOL,*06v07*,4,2,38,M,Rayan Cherki,MCI,22,286.75,13.03,31,7,32.9864472410455,340.75,10.33,29,9,0.8415260454878943
COB,*05748*,4,3,39,F,Ismaila Sarr,CRY,24,171.5,7.15,66,-27,27.997275204359674,205.5,7.34,150,-111,0.8345498783454988
UFOE,*05n07*,4,4,40,D,Pedro Porro,TOT,29,299,10.31,28,12,34,340,10,30,10,0.8794117647058823
MTP,*063q8*,4,5,41,M,Mikkel Damsgaard,BRF,24,215,8.96,51,-10,33.01122194513716,264.75,8.02,90,-49,0.8120868744098206
RVN,*06fup*,4,6,42,F,Jeremy Doku,MCI,21,324.5,15.45,23,19,30,349.5,11.65,25,17,0.9284692417739628
BRG,*05uht*,4,7,43,F,Morgan Rogers,AVL,37,356,9.62,15,28,36.99360341151386,347,9.38,26,17,1
